小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
融泽嘉园一号院,55048,昌平 龙泽,龙域中路1号,高层,2.30元/平米/月,经济适用房,2.50,10750户,38%,2014年,地上150地下400,上海复旦复华软件产业发展有限公司,长城物业集团股份有限公司,116.31380042286457,40.07445501105208
拾景名苑,37313,石景山 古城,体育场西街20号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.20754821833052,39.907710776594165
垂虹园(蓝靛厂),99269,海淀 世纪城,蓝靛厂中路,高层,2.52元/平米/月,商品房住宅,2.56,2800户,35%,2004年,1:0.9，地下车位，租500元/月，售价18万左右,北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,116.29922254138755,39.952307818081195
角门西里晨光小区,64918,丰台 马家堡,角门北路,多层,0.80元/平米/月,商品房住宅,1.00,暂无数据,30%,2015年,150元/车位/月,隆江物业管理有限公司,久筑物业,116.38158493969759,39.8550442945013
上上城第二季,22727,北京周边 燕郊,北蔡街,高层,1.70元/平米/月,商品房住宅,2.74,3000户,36%,2009年,充足,工商银行闵行支行,三河隆盛物业管理公司,116.75607736781907,39.9378971677632
天通苑西二区,40781,昌平 天通苑,立汤路,多层,1.25元/平米/月,经济适用房,1.10,5760户,30%,2015年,地上停车位150元/月 地下停车180元/月,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
太玉园西区,20000,通州 土桥,张采路,多层,0.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,2005年,暂无数据,北京成龙房地产开发有限公司,暂无数据,116.70625482898028,39.857181676540336
金泰先锋,76651,朝阳 百子湾,石门村路,小高层,2.60元/平米/月,商品房住宅,2.20,1262户,30%,2008年,150元/位·月，车位充足,北京金泰恒业有限责任公司,北京金泰物业管理有限公司第二分公司,116.5063854462322,39.90233293643656
科育社区,129293,海淀 中关村,中关村南路49号,多层,0.50元/平米/月,商品房住宅,1.89,1100户,30%,1981年,停车免费,明华物业管理有限公司,北京科住物业管理有限公司,116.32824059410692,39.98771444856268
奥林匹克花园(四期),63138,朝阳 东坝,"东坝南三街,近单店中路",小高层,1.50元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2009年,暂无数据,上海盛顺餐饮有限公司,北京奥园物业管理有限公司,116.54858801875208,39.96581009448197
南庭新苑北区,56250,丰台 新宫,槐房西路,高层,1.50元/平米/月,商品房住宅,3.50,暂无数据,30%,2009年,车位充足，有地上停车位和地下停车位，北区有停车楼。目前不收取停车费,"快板电子科技有限公司,上海久誉软件系统有限公司",北京京丰物业管理有限责任公司,116.3754772707047,39.81294522911706
翠北嘉园,31395,海淀 上庄,沙阳路,小高层,0.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.20902808682766,40.131660749023546
甜水园东里,66734,朝阳 甜水园,甜水园东街,多层,0.00元/平米/月,商品房住宅单位集体自建房,1.50,2646户,28%,1984年,甜水园东里内都是地上的车位，车位租金一年1800元，基本上都被个人承租，车位紧缺，可提前和物业打招呼申请，以免影响停车！,北京市崇文区城市建设开发公司,三元物业,116.48934602799675,39.931691053087214
六里屯东里,60493,朝阳 朝阳公园,姚家园路,多层,0.00元/平米/月,商品房住宅,1.50,1134户,30%,1980年,150元/车位/月,上海丽景物业管理有限公司,德诚永信中海物业,116.48958165353201,39.93621535364929
天天朝阳,62265,朝阳 甘露园,甘露园西里8号,小高层|高层,2.00元/平米/月,商品房住宅,2.60,552户,32%,2005年,地下车位，332个，1:1.5 350元/月,北京三合兴房地产开发有限公司,红磡物业管理公司,116.5161160711774,39.923828187237135
惠泽园,68954,朝阳 四惠,建国路,多层,2.79元/平米/月,商品房住宅,0.00,暂无数据,31%,2002年,暂无数据,上海卫客商务信息咨询有限公司,北京京煤集团有限责任公司物业管理分公司,116.50739370433661,39.9159567326602
甘露晴苑,54978,朝阳 甘露园,朝阳路,高层,1.63元/平米/月,商品房住宅,3.00,700户,30%,2001年,充足，150元/月,杭州华亭科技有限公司,北京恒安物业管理有限公司,116.5265100947417,39.9224577673902
沙窝苗圃宿舍,82166,海淀 马连洼,太平路,多层,0.00元/平米/月,商品房住宅,2.00,486户,35%,2000年,暂无数据,暂无数据,居民自理,116.28445224287029,39.90457468889828
三不老胡同小区,140911,西城 新街口,三不老胡同,多层,0.80元/平米/月,商品房住宅,0.00,暂无数据,30%,1990年,暂无数据,暂无数据,单位自管物业,116.4205602598423,39.92860144255692
合木山庄,71546,昌平 北七家,九台路8号,低层,2.00元/平米/月,商品房住宅,0.30,180户,暂无数据,1999年,暂无数据,北京九台房地产开发有限责任公司,合木山庄物业管理有限公司,116.39386297940796,40.08721707364368
胡桃园,53025,丰台 六里桥,丰台路30号,多层,1.20元/平米/月,商品房住宅,2.20,420户,40%,1992年,地面车位150元/月,上海华锦物业管理有限公司,北京农业生产资料有限公司物业管理,116.28833184470678,39.87827862182136
沿河路西区,22018,通州 土桥,盐河路,多层,3.18元/平米/月,商品房住宅,0.00,暂无数据,30%,暂无数据,暂无数据,暂未获知,-,116.76745458676405,39.839977694204364
双井北里小区,67538,朝阳 双井,百子湾南二路,小高层,1.50元/平米/月,商品房住宅,1.90,800户,30%,1984年,150元/车位/月,暂未获知,北京城建物业管理有限责任公司,116.47103083627601,39.90332177694961
朝阳无限芳菁苑,59413,朝阳 甘露园,朝阳路,多层,1.92元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2004年,暂无数据,上海净空环保工程有限公司,北京市京工物业管理有限责任公司,116.5181639382485,39.92420860474176
工人体育场东路小区,78400,朝阳 朝外大街,工人体育场东路,多层,0.80元/平米/月,商品房住宅,2.20,1017户,30%,1988年,充足,三河福成房地产开发有限公司,银茂泰德物业管理有限公司,116.45620331569778,39.9310913727036
海鶄落新村,15789,昌平 北七家,七北路,多层,0.50元/平米/月,小产权房,1.03,80户,40%,2004年,充足,集体自建,海鶄落物业,116.44163262066482,40.10844149017397
新华西街145号院,51266,通州 通州北苑,新华西街145号,高层,0.80元/平米/月,商品房住宅,3.10,暂无数据,35%,2000年,暂无数据,通州区住房和城乡建设委员会,北京瑞康物业服务有限公司,116.64444961328276,39.914242830563104
永利国际,81829,朝阳 三里屯,工人体育场体北路,高层,0.00元/平米/月,商品房住宅,4.32,暂无数据,30%,2010年,暂无数据,北京京茂房地产开发有限公司,达尔文国际物业有限公司,116.12384704208166,39.92689917474497
天之骄子,82380,朝阳 双井,东柏街9号,高层,3.00元/平米/月,商品房住宅,2.73,707户,33%,2005年,户均一个，600元/月,上海云都物业管理有限公司,香港中原物业,116.47206298930698,39.90150314893908
宝产胡同15号院,200000,西城 新街口,宝产胡同15号,低层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1999年,暂无数据,暂无数据,暂无数据,116.37742075467554,39.94134821391118
博雅西园,83275,海淀 马连洼,农大南路,多层|小高层,1.99元/平米/月,商品房住宅,1.08,1200户,48%,2005年,停车位1：1，出租150元/月,北京世纪兴业房地产开发有限公司,瑞赢酒店物业管理公司,116.30105463547515,40.032275291531604
芍药居4号院,78510,朝阳 芍药居,文学馆路,多层|小高层|高层,0.60元/平米/月,商品房住宅,2.40,246户,10%,1998年,129,上海华滋物业管理有限公司,北京城乡物业管理公司,116.44039718109694,39.988696586969716
农丰里,92201,朝阳 东大桥,"朝阳北路,近工人体育场东路",多层,1.71元/平米/月,商品房住宅,2.00,暂无数据,40%,1990年,暂无数据,暂无数据,农业部内部管理部门,116.46000368698827,39.929899119615094
蓝调沙龙,50050,通州 九棵树,怡乐北街,多层|高层,2.50元/平米/月,商品房住宅,1.50,暂无数据,35%,2004年,暂无数据,北京天行雅坤房地产开发有限公司,北京燕科物业管理有限责任公司,116.65777606535383,39.89322257000318
中弘北京像素南区,45454,朝阳 常营,五里桥二街2号,高层,2.10元/平米/月,办公,0.00,暂无数据,40%,2009年,暂无数据,北京中弘投资有限公司,北京中弘文昌物业管理有限公司,116.62440778854129,39.93248845173747
新街口外大街10号院,134774,西城 德胜门,新街口外大街10号,多层,0.00元/平米/月,商品房住宅,2.00,360户,30%,1994年,充足,上海东信物业管理有限公司,上海东信物业管理有限公司,116.3790283622162,39.96794261302515
马家堡西里,58346,丰台 马家堡,马家堡中路,多层,1.80元/平米/月,商品房住宅,2.00,6520户,28%,1998年,150元/位·月,"阿克苏若贝尔,古驰贸易有限公司",北京城建物业管理有限责任公司,116.38072103928864,39.85883761510765
城南嘉园益嘉园,51262,丰台 马家堡,马家堡西路,多层,1.30元/平米/月,单位集体自建房,1.87,1267户,34%,2002年,地上车位150/元、地下车位350/元,上海寰舟水产有限公司,北京京丰物业管理有限责任公司,116.37904695714026,39.838821516855816
马家堡西里,58346,丰台 马家堡,马家堡中路,多层,1.80元/平米/月,商品房住宅,2.00,6520户,28%,1998年,150元/位·月,"阿克苏若贝尔,古驰贸易有限公司",北京城建物业管理有限责任公司,116.38072103928864,39.85883761510765
龙府花园,41107,顺义 胜利,中山北大街,多层,0.50元/平米/月,商品房住宅,1.50,1155户,35%,2000年,150元/车位/月,北京龙脉温泉房地产开发有限责任公司,北京昌振顺达物业管理有限公司,115.98980839491972,39.71489590254255
首座御园(三期),35076,大兴 枣园,科苑路30号,小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.37161967735321,39.760945204837654
上上城第三季,15700,北京周边 燕郊,燕顺路,高层,1.70元/平米/月,商品房住宅,2.90,暂无数据,35%,2011年,暂无数据,中外合资镇江豪斯嘉房地产有限公司,三河福成房地产开发有限公司,116.75607736781907,39.9378971677632
朝庭公寓,73454,朝阳 望京,阜荣街8号,高层,2.80元/平米/月,商品房住宅,4.17,暂无数据,30%,2008年,暂无数据,"上海佳科科技有限公司,创新实业有限公司",北京鼎铭物业管理有限公司,116.49021001823625,39.99411851147661
百子湾家园(B区),55222,朝阳 百子湾,百子湾路,高层,1.50元/平米/月,商品房住宅,2.54,暂无数据,30%,2003年,暂无数据,上海飞聘房地产有限公司、拓博国际货物运输代理有限公司、思喜爱思计算机系统有限公司,北京建工物业服务有限公司,116.51931457777623,39.906200970002104
金海国际,61384,朝阳 百子湾,广渠路21号,小高层|高层|超高层,2.00元/平米/月,商品房住宅,2.80,1534户,32%,2004年,地下车位380元/月,东方房产物业管理有限公司,北京盛世物业服务有限公司,116.49900622578996,39.90098671475169
安福苑,41980,昌平 昌平县城,北京市昌平区昌平镇财神庙胡同19号,多层,3.00元/平米/月,商品房住宅,2.98,60户,30%,1985年,150元/车位/月,"上海维塔斯电脑软件有限公司,上海鸿讯物流有限公司",福苑物业,116.24535205825967,40.23339086629223
西辛北区,38635,顺义 顺义城区,西外街,多层,0.55元/平米/月,商品房住宅,1.30,暂无数据,35%,1995年,小区有停车位500个,"湾流国际,思政餐饮有限公司",北京大龙地产物业管理中心,116.65043996357605,40.14659976495903
西辛北区,38635,顺义 顺义城区,西外街,多层,0.55元/平米/月,商品房住宅,1.30,暂无数据,35%,1995年,小区有停车位500个,"湾流国际,思政餐饮有限公司",北京大龙地产物业管理中心,116.65043996357605,40.14659976495903
龙门新区B9小区,23380,门头沟 龙泉,和平街,多层|小高层,1.70元/平米/月,商品房住宅,0.00,暂无数据,35%,2013年,暂无数据,上海蒂沙物业管理有限公司,北京奥和物业管理有限公司,116.0892253029978,39.95108579286173
首城国际,93740,朝阳 双井,广渠路36号,高层,2.83元/平米/月,商品房住宅,3.20,3820户,30%,2010年,A、B、D区车位和住宅比例0.8:1；C区车位和住宅比例2:1,上海维风企业管理有限公司,北京市嘉宝物业管理有限公司,116.47585868940884,39.89867212255458
天恒花园,40715,顺义 天竺,天柱路,多层,1.80元/平米/月,商品房住宅,1.19,249户,40%,2006年,地上150元/月,北京空港天恒房地产开发有限公司,北京天竺空港物业管理有限公司,116.56679541381162,40.07484355534475
山语间(保利西山林语),58911,海淀 马连洼,黑龙潭路,多层,0.40元/平米/月,商品房住宅,0.00,3315户,30%,0000-00-00年,地下停车场,暂无数据,暂无数据,116.2217337199608,40.044811468348676
天通苑西三区,36955,昌平 天通苑,立汤路,多层|高层,1.25元/平米/月,经济适用房,3.50,2600户,30%,2015年,地上150/月，地下车库180元,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
于家坟11号院,30303,丰台 宋家庄,于家坟11号,多层,1.00元/平米/月,商品房住宅,1.00,600户,15%,2000年,50,城市开发,业主自管,116.44176718683022,39.85886281596879
三环新城7号院,56408,丰台 玉泉营,丰桥路7号,小高层|高层,1.20元/平米/月,商品房住宅,2.40,9000户,40%,2004年,停车位2：1，地面车位150元/车位/月，地下车位300/车位/月,上海鸿鼎物业管理有限公司,北京新城康景物业管理有限责任公司,116.31663080386541,39.85754405068532
天通苑西三区,36955,昌平 天通苑,立汤路,多层|高层,1.25元/平米/月,经济适用房,3.50,2600户,30%,2015年,地上150/月，地下车库180元,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
珠江四季悦城,30000,通州 马驹桥,兴贸三街,小高层,3.60元/平米/月,商业,2.30,3344户,50%,2015年,共1914个机动车停车位，自行车位5888个,北京珠江投资开发有限公司,广东康景物业服务有限公司北京分公司,116.58922924646505,39.76628201171778
新安里,36108,大兴 黄村,团河路,多层|高层,0.80元/平米/月,商品房住宅,3.00,1356户,30%,2015年,免费停车，小区内有400个停车位,"东方海外货柜航运(中国)有限公司,乔达国际货运(上海)有限公司,上海市国际展览有限公司,大日精化(上海)贸易有限公司,上海凯璞庭资产管理有限公司,上海金丰投资有限公司,虹软（上海）多媒体科技有限公司",新安里小区物业管理公司,116.38709933000285,39.77233003582524
佟馨家园D区,32701,大兴 观音寺,永华路,高层,1.20元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2014年,暂无数据,无,无,116.3236033614033,39.731799193098745
新街口西里(一区),118124,西城 新街口,东教场胡同,多层,0.60元/平米/月,商品房住宅,1.30,688户,30%,1985年,150/车位/月，小区内停车不要钱,北京城市建设开发集团总公司,北京天恒瑞海物业管理有限责任公司,116.37344799855765,39.9511120657712
石门营新区四区,27436,门头沟 永定,紫金北路,多层,0.00元/平米/月,动迁配套房,0.00,暂无数据,12%,2001年,暂无数据,庆扬贸易有限公司,保利物业管理(北京)有限公司,116.1088301919392,39.893345189046855
中国铁建兴盛馨苑,26923,大兴 旧宫,京福路,多层,0.50元/平米/月,商品房住宅,2.20,暂无数据,30%,2016年,暂无数据,中国铁建房地产集团有限公司,北京中铁物业管理有限公司,116.44988795847097,39.77994607191896
御园B区,28150,大兴 庞各庄,民生路3号,高层,0.80元/平米/月,商品房住宅,0.00,暂无数据,40%,2007年,暂无数据,北京兴业万发房地产开发有限公司,北京高力国际物业管理有限公司,116.32721778345326,39.63416735416128
望京西园三区,67032,朝阳 望京,望京街,高层,1.70元/平米/月,商品房住宅,3.00,3400户,20%,2003年,地上3000个、没有地下车位。固定车位350/月，地上车位150/月,北京高校房地产开发总公司,北京望京实业总公司,116.48086503584649,40.00566806430206
千禧家园,21608,房山 阎村,阎东路,多层,0.62元/平米/月,商品房住宅,0.97,1260户,38%,2008年,100元/月，车位充足,北京市鸿翔房地产开发有限公司,北京鸿翔房地产开发有限公司,116.07742632961589,39.73509992030528
荣丰2008,141218,西城 广安门外,广安门外大街305号,小高层|高层|超高层,3.30元/平米/月,商品房住宅,3.20,9157户,36%,2003年,地下450-600元/车位/月，地上150元/车位/月,北京荣丰房地产开发有限公司,北京非常空间物业管理有限公司,116.3427521806373,39.9005649295787
珠江四季悦城,30000,通州 马驹桥,兴贸三街,小高层,3.60元/平米/月,商业,2.30,3344户,50%,2015年,共1914个机动车停车位，自行车位5888个,北京珠江投资开发有限公司,广东康景物业服务有限公司北京分公司,116.58922924646505,39.76628201171778
富力尚悦居,37320,通州 马驹桥,兴贸二街,小高层,3.30元/平米/月,商品房住宅,2.30,1466户,35%,2015年,1466个,北京极富房地产开发有限公司,北京恒富物业服务有限公司,116.5943912692476,39.77770478925122
高家园新区,0,门头沟 龙泉,育园路,高层,0.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.10719024540019,39.93679230633527
翠微南里,93142,海淀 公主坟,玉渊潭南路,多层|高层,1.10元/平米/月,商品房住宅,3.00,500户,28%,2015年,地上车位30个，150元/月,大润发、倾城宝贝儿童摄影、筑博设计集团（上海）股份有限公司、上海久宙化工有限公司、上海韵华电子科技有限公司、上海真迪智能科技有限公司、上海炫创企业策划有限公司、河北建工集团,中房集团北京物业公司,116.30441501672688,39.91805505554101
双合小区C区(建工双合家园C区),44667,朝阳 垡头,双合中路3号,高层,1.83元/平米/月,经济适用房,2.57,暂无数据,30%,2004年,暂无数据,上海绿哲实业有限公司,北京建工物业服务有限公司,116.53383640498943,39.86430570643977
中间建筑,48192,海淀 香山,杏石口路50号,低层,0.00元/平米/月,办公,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.23950696396736,39.9599810803498
西山枫林(四区),48880,石景山 八大处,香山南路,小高层,1.60元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京和泓物业公司,116.20287388560935,39.95247713684109
芳源里,48791,大兴 旧宫,南小街路,多层,1.25元/平米/月,商品房住宅,1.37,暂无数据,33%,2002年,暂无数据,北京军建利司达房地产开发有限公司,北京延龙物业管理有限责任公司,116.42370621556881,39.790700501706105
林校中里,37894,大兴 海子角,京开路,多层,1.20元/平米/月,商品房住宅,1.50,暂无数据,20%,2000年,不收费,无,京港物业管理有限责任开发公司,116.3502332689244,39.72692070844148
亚林西居住区,56686,丰台 右安门,西铁营中路9号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2018年,暂无数据,暂无数据,暂无数据,116.36087181124851,39.86197048142517
迎喜家园,43882,通州 土桥,玉桥中路,多层,2.00元/平米/月,商品房住宅,1.20,1200户,30%,2001年,200个,北京子轶房地产开发有限公司,北京求实信物业管理有限公司,116.69392405873646,39.88028245790498
冠芳园,39919,昌平 沙河,定泗路,多层,2.16元/平米/月,商品房住宅,0.00,暂无数据,20%,暂无数据,暂无数据,北京龙冠房地产开发有限责任公司,冠芳园物业,116.31225731365954,40.119425862711594
首开万科城市之光,50162,通州 台湖镇,站前街,高层,0.00元/平米/月,商品房住宅,2.20,暂无数据,30%,暂无数据,暂无数据,暂无数据,北京万科物业服务有限公司,116.44397629974036,39.903941282491566
惠泽园,68954,朝阳 四惠,建国路,多层,2.79元/平米/月,商品房住宅,0.00,暂无数据,31%,2002年,暂无数据,上海卫客商务信息咨询有限公司,北京京煤集团有限责任公司物业管理分公司,116.50739370433661,39.9159567326602
牡丹园东里,102689,海淀 牡丹园,北土城路,多层|高层,0.68元/平米/月,商品房住宅,1.33,1772户,30%,2015年,停车位是120元/月,上海显贵物业管理有限公司,北京海淀区志新物业管理公司,116.40450520478468,39.984943888839986
怡景园,78019,朝阳 朝外大街,朝外大街,高层,8.28元/平米/月,商品房住宅,2.50,540户,40%,2002年,地下车位1100/月,北京成荣房地产开发有限公司,北京大成房地产物业部,116.44836649842873,39.926947686207725
金桥国际公寓,85814,东城 广渠门,广渠路,高层|超高层,4.80元/平米/月,办公,6.00,暂无数据,37%,2003年,暂无数据,上海华锦物业管理有限公司,北京嘉安物业管理有限公司,116.5260274684285,39.89930211237226
富力尚悦居,37320,通州 马驹桥,兴贸二街,小高层,3.30元/平米/月,商品房住宅,2.30,1466户,35%,2015年,1466个,北京极富房地产开发有限公司,北京恒富物业服务有限公司,116.5943912692476,39.77770478925122
今典花园,93719,海淀 小西天,文慧园北路9号,高层,2.98元/平米/月,商品房住宅,4.00,2750户,40%,1998年,停车位基本十分的抢手，一般好的房子基本都带个地下停车位,北京安地房地产开发有限责任公司,北京今日今典物业管理公司,116.36635964943952,39.959313279476234
幸福家园(二期),109472,东城 广渠门,幸福大街,小高层|高层,2.64元/平米/月,商品房住宅,2.40,暂无数据,35%,2001年,暂无数据,上海新北方物业管理有限公司,北京金宏宇物业服务有限公司,116.43802601387281,39.89885409890755
定福庄北里1号院,53903,朝阳 定福庄,定福庄路,多层,0.00元/平米/月,商品房住宅,1.60,2482户,20%,2000年,150元/车位/月,北京市中建一局第五建筑公司,业主自管,116.5680502567785,39.92374435676602
沙河一通小区,43648,昌平 沙河,沙阳路,多层|高层,0.60元/平米/月,商品房住宅,1.50,374户,30%,2001年,暂无数据,北京顺天通房地产开发有限公司,北京百姓人家物业管理中心,116.2626210833835,40.12815209307252
团结湖北口,73018,朝阳 团结湖,东三环北路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.4692028797836,39.938822569939134
东辰小区,51277,昌平 立水桥,立军路,多层,0.86元/平米/月,商品房住宅,1.80,2000户,20%,1992年,150元/车位/月,"阿克苏若贝尔,古驰贸易有限公司",北京东辰物业管理有限公司,116.41272541884538,40.05643555811663
国锐金嵿,62055,大兴 亦庄,荣华南路1号,小高层|超高层,4.20元/平米/月,商品房住宅,4.83,1650户,30%,2014年,停车位配比1：1.6,北京国锐房地产开发有限公司,北京澳西物业管理有限公司,116.51449022803489,39.796677571072685
望花路西里社区,65461,朝阳 花家地,望花路,多层|高层,1.33元/平米/月,商品房住宅,3.20,1812户,30%,1981年,150元/车位/月,中建一局集团建设发展有限公司,北京金坤物业管理有限公司,116.4775510071591,39.99551208197034
魏公村南区,99630,海淀 魏公村,魏公村路,多层,0.00元/平米/月,商品房住宅,1.20,暂无数据,25%,1986年,暂无数据,上海风科盛投资有限公司,单位自管,116.32334500873864,39.9588579129371
宝盛里观林园,74374,海淀 清河,南马房东路,多层,1.50元/平米/月,商品房住宅,1.40,暂无数据,30%,2008年,暂无数据,"上海芝阁信息科技服务有限公司,上海窗钩厂",北京天鸿宝地物业管理经营有限公司,116.37940259629165,40.04536706043074
理想家园,35185,大兴 西红门,宏福路1号,多层,1.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2015年,暂无数据,北京鸿坤伟业房地产开发有限公司,无,116.34805182382398,39.78988459979116
筑华年,71713,朝阳 北苑,双营路2号,高层,2.98元/平米/月,商品房住宅,3.20,2516户,30%,2010年,共1228个，比例1:1，全部是地下停车位。,上海显贵物业管理有限公司,北京城承物业管理有限责任公司,116.4342740612493,40.04218133692054
时代龙和大道,43688,大兴 黄村,富强路2号,小高层,1.80元/平米/月,商品房住宅,2.00,1926户,35%,2007年,1305个,上海映巷集团,亿方物业管理有限责任公司,116.34964270132281,39.743080497765
太玉园西区,20000,通州 土桥,张采路,多层,0.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,2005年,暂无数据,北京成龙房地产开发有限公司,暂无数据,116.70625482898028,39.857181676540336
信堡水岸公馆,91999,西城 天宁寺,广安门外大街,高层,2.30元/平米/月,商品房住宅,3.00,396户,20%,2007年,240个,北京市天叶房地产开发有限公司,北京天宝伟业物业管理有限责任公司,116.33637007931112,39.89844060364632
中关园,27757,海淀 北京大学,成府路,多层,2.90元/平米/月,商品房住宅,1.20,500户,20%,1983年,停车位380个，出租300-600元/月,"贝古设计事务所,中国建筑与室内设计师网",-,116.32499600443543,39.99786952701159
拾景名苑,37313,石景山 古城,体育场西街20号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.20754821833052,39.907710776594165
酒仙桥一街坊,55007,朝阳 酒仙桥,酒仙桥路,多层,1.50元/平米/月,商品房住宅,1.30,1000户,28%,1957年,100,上海祥涛实业投资有限公司,北京建国物业管理有限公司,116.50009461274584,39.971342573353105
十里堡北里,61184,朝阳 十里堡,朝阳北路,多层|小高层|高层,0.00元/平米/月,商品房住宅,2.00,暂无数据,25%,1995年,地上车位150每月,保利(北京)房地产开发有限公司,北京东岳物业管理有限公司,116.51182001490648,39.92839810552587
甘露西园,58738,朝阳 十里堡,青年路,高层,1.62元/平米/月,商品房住宅,2.60,572户,30%,2005年,150元/车位/月,蔚蓝海岸婚纱摄影,北京和家安物业管理有限公司,116.51427777878177,39.92184693843129
甘露晴苑,54978,朝阳 甘露园,朝阳路,高层,1.63元/平米/月,商品房住宅,3.00,700户,30%,2001年,充足，150元/月,杭州华亭科技有限公司,北京恒安物业管理有限公司,116.5265100947417,39.9224577673902
金台西路2号院,60913,朝阳 呼家楼,金台西路2号,多层,0.50元/平米/月,商品房住宅,1.25,暂无数据,暂无数据,1958年,暂无数据,北京住总房地产开发有限公司,金台物业,116.47730073924401,39.924344862856984
北京方糖,37857,顺义 后沙峪,火沙路,多层|小高层|高层,4.83元/平米/月,办公,2.77,1298户,30%,2013年,580,竺坊建筑设计,北京商宝通商业管理有限公司,116.56362259875038,40.10870829913207
富泉花园,46598,昌平 昌平县城,白浮泉路21号,多层,2.00元/平米/月,商品房住宅,0.64,111户,30%,2001年,充足,东风集团,北京国华富泉物业管理公司,116.25440302525601,40.20819804781378
冠雅苑,39644,昌平 北七家,定泗路,多层,1.00元/平米/月,商品房住宅,1.00,2000户,40%,2015年,"每户一位,免费1:1",北京商建房地产开发公司,北京商建物业公司,116.41454547563914,40.120928784391054
燕丹村,26666,昌平 天通苑,大海路,多层,1.50元/平米/月,小产权房,0.00,暂无数据,30%,暂无数据,暂无数据,北京城建三房地产开发有限公司,北京燕城苑物业管理公司,116.44525324102278,40.10409293488529
都市芳园,42476,昌平 天通苑,太平庄北街,低层,2.00元/平米/月,商品房住宅,0.40,2000户,40%,1996年,1：3，全部地上，停车全部免费,北京都市芳园房地产开发有限公司,北京都市芳园房地产开发有限公司,116.39788936436479,40.08763059151733
K2海棠湾,58703,通州 梨园,云景东路,多层|高层,2.80元/平米/月,商品房住宅,2.90,2333户,30%,2008年,1205个,北京亚通房地产开发有限责任公司,浙江绿城物业管理有限公司,116.67156280916822,39.875657737733526
小街之春嘉园,40162,通州 土桥,砖厂北街9号,多层,1.50元/平米/月,商品房住宅,1.50,637户,40%,2006年,总数0个 地上车位0个,通州区住房和城乡建设委员会,北京澳通物业管理中心,116.69581211725733,39.88255677356782
天裕昕园(东区),26924,顺义 后沙峪,天北路,高层,3.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,北京天竺房地产开发公司,空港物业,116.53443844934222,40.09058951988557
鑫苑小区,44858,通州 通州北苑,杨庄南街2号,多层,0.60元/平米/月,商品房住宅,1.20,暂无数据,41%,2001年,地上小车150元/月，大车210/月，小车1600/年，大车2300/年,通州区住房和城乡建设委员会,北京顺开物业管理有限公司,116.64614588357726,39.904339108067774
A派公寓,93784,朝阳 双井,百子湾南二路78号,小高层|高层,3.20元/平米/月,商品房住宅,2.70,492户,31%,2007年,地表车位290个，150元/月，地下车位600元/月,上海红坊文化发展有限公司,北京中原华夏物业管理有限公司,116.47484818554065,39.902159825597664
通大家园,29512,通州 九棵树,九棵树西路,高层,2.80元/平米/月,商品房住宅,2.59,750户,30%,2004年,3200,北京市烟草公司物资储运公司,北京通大家园物业管理有限公司,116.64719097220757,39.87809818231691
金泰先锋,76651,朝阳 百子湾,石门村路,小高层,2.60元/平米/月,商品房住宅,2.20,1262户,30%,2008年,150元/位·月，车位充足,北京金泰恒业有限责任公司,北京金泰物业管理有限公司第二分公司,116.5063854462322,39.90233293643656
